Hour,Demand,Reserves
1424,19416,1095
1425,19361,1131
1426,19349,1771
1427,19283,1681
1428,19159,1220
1429,19025,1581
1430,19010,1510
1431,19038,1279
1432,19075,1791
1433,19393,1724
1434,19907,1594
1435,20446,1548
1436,20379,1840
1437,20049,1684
1438,19470,1630
1439,18642,934
1440,17595,912
1441,16916,1627
1442,16561,1301
1443,16425,1562
1444,16413,1455
1445,16679,1370
1446,17221,1425
1447,18109,1781
1448,18885,1596
1449,19751,997
1450,19844,1035
1451,19068,1169
1452,17855,1426
1453,16799,1169
1454,15964,1420
1455,15439,819
1456,15287,1184
1457,15513,850
1458,15952,1107
1459,17080,1175
1460,17504,1014
1461,17355,1388
1462,16988,1250
1463,16439,1426
1464,15694,1124
1465,15106,1333
1466,14765,787
1467,14615,1400
1468,14592,1384
1469,14736,1063
1470,15142,1054
1471,15877,1220
1472,16674,1174
1473,17720,1245
1474,18148,1675
1475,17970,1123
1476,17652,1663
1477,17541,1026
1478,17474,1404
1479,17412,988
1480,17530,965
1481,17817,1139
1482,18499,1112
1483,19348,1804
1484,19467,1912
1485,19130,1123
1486,18372,1361
1487,17294,1628
1488,16328,1592
1489,15683,1527
1490,15485,869
1491,15497,799
1492,15775,896
1493,16506,945
1494,18231,1570
1495,20795,1533
1496,21854,1142
1497,21853,1652
1498,21737,1334
1499,21427,1622
1500,20797,1803
1501,20081,1402
1502,19493,1871
1503,18982,1860
1504,18704,1548
1505,18940,1241
1506,19927,1461
1507,21817,1941
1508,22726,1760
1509,22868,1690
1510,22324,1705
1511,21385,1127
1512,20477,1189
1513,19897,1383
1514,19733,1312
1515,19756,1610
1516,20001,1176
1517,20686,1309
1518,22332,2104
1519,24921,1310
1520,25770,1998
1521,25493,1407
1522,24940,1325
1523,24148,1415
1524,23087,1200
1525,21888,1659
1526,21026,1641
1527,20197,1684
1528,19710,1761
1529,19821,1901
1530,20705,1812
1531,22889,1165
1532,24313,1405
1533,24689,1876
1534,24370,1870
1535,23536,1966
1536,22719,1679
1537,22330,1668
1538,22352,1540
1539,22602,2151
1540,23107,1406
1541,24068,1423
1542,25891,2558
1543,28185,2379
1544,28325,1858
1545,26849,2117
1546,25361,1298
1547,24016,2072
1548,22791,1936
